Country,Year,Energy use (kg of oil equivalent per capita),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Individuals using the Internet (% of population),"International migrant stock, total"
equatorial guinea,1975,,,,1884492
greece,1975,1298.204363,,,401713
grenada,1975,,,0,5279
greenland,1975,,,,9011238
guatemala,1975,517.9219575,,,928340
guam,1975,,,,157166
guyana,1975,,,,71219
high income,1975,4085.060966,,,171429
"hong kong sar, china",1975,813.399229,,,27777
honduras,1975,488.3617014,,,1446242
heavily indebted poor countries (hipc),1975,,,,1006374
croatia,1975,,,,24598
haiti,1975,336.5135123,,,770342
hungary,1975,2173.246968,,,675638
ibrd only,1975,564.726706,,,..
ida & ibrd total,1975,536.119782,,,160512
ida total,1975,374.6226481,,,771
ida blend,1975,468.1484312,,,30345
indonesia,1975,314.7275956,,,305275
ida only,1975,318.5079945,,,..
isle of man,1975,,,,664156
india,1975,275.9077848,,,..
not classified,1975,,,,21247
ireland,1975,2083.994921,,,..
"iran, islamic rep.",1975,813.7379325,,,208567
iraq,1975,521.128512,,,4977
iceland,1975,5071.635341,,,63597
israel,1975,2032.764399,,,223398
italy,1975,2106.078748,,,8076
jamaica,1975,1322.349035,,,..
jordan,1975,364.6533034,,,70058
japan,1975,2725.159326,,,107761
kazakhstan,1975,,,,53591
kenya,1975,445.1503682,,,289884
kyrgyz republic,1975,,,,717901
cambodia,1975,,,,2055
kiribati,1975,,,,163008
st. kitts and nevis,1975,,,,8104
"korea, rep.",1975,693.3380479,,,1144
kuwait,1975,6343.826097,,,26073
latin america & caribbean (excluding high income),1975,898.1198981,,,10199
lao pdr,1975,,,,230346
lebanon,1975,840.2309387,,,5034
liberia,1975,,,,..
libya,1975,1385.475017,,,16296
st. lucia,1975,,,,4975
latin america & caribbean,1975,908.4334963,,,..
least developed countries: un classification,1975,313.2237215,,,90479
low income,1975,,,,37011
liechtenstein,1975,,,,265854
sri lanka,1975,298.7166403,,,55236
lower middle income,1975,309.2755379,,,2634
low & middle income,1975,511.0562163,,,299373
lesotho,1975,,,,343752
late-demographic dividend,1975,673.6926117,,,32108
lithuania,1975,,,,492857
luxembourg,1975,10504.9812,,,22675
latvia,1975,,,,86271
"macao sar, china",1975,,,,704377
st. martin (french part),1975,,,,..
morocco,1975,222.5675713,,,4155
monaco,1975,,,,98597
moldova,1975,,,,75328
madagascar,1975,,,,4574348
maldives,1975,,,0,500
middle east & north africa,1975,588.1063042,,,52791
mexico,1975,992.225014,,,43690
marshall islands,1975,,,,100929
middle income,1975,510.5687347,,,67097
north macedonia,1975,,,,162045
mali,1975,,,,1807979
malta,1975,687.9877195,,,164280
myanmar,1975,273.8150661,,,227027
middle east & north africa (excluding high income),1975,445.9307927,,,119182
montenegro,1975,,,,239035
mongolia,1975,,,,..
northern mariana islands,1975,,,,46732
mozambique,1975,657.1508817,,,3742
mauritania,1975,,,,8115
mauritius,1975,448.7556054,,,6900
malawi,1975,,,,928827
malaysia,1975,593.4745947,,,154812
north america,1975,7609.23966,,,..
namibia,1975,,,,2934
new caledonia,1975,,,,93741
niger,1975,,,,529006
nigeria,1975,608.4487595,,,..
nicaragua,1975,524.6548007,,,..
netherlands,1975,4318.726564,,,..
norway,1975,3651.680815,,,4282
nepal,1975,299.9503218,,,14048
nauru,1975,,,,962371
new zealand,1975,2772.282119,,,..
oecd members,1975,3861.107225,,,465542
oman,1975,270.8234368,,,885875
other small states,1975,,,,2664
pakistan,1975,304.5591909,,,3217
panama,1975,969.0454279,,,..
peru,1975,671.3280298,,,2199
philippines,1975,442.231146,,,321780
palau,1975,,,,13878
papua new guinea,1975,,,,578054
poland,1975,3029.427815,,,1089203
pre-demographic dividend,1975,512.4988422,,,429290
puerto rico,1975,,,,..
"korea, dem. people’s rep.",1975,1367.708977,,,607887
portugal,1975,845.3624414,,,344715
paraguay,1975,528.0626073,,,8953
west bank and gaza,1975,,,,148584
pacific island small states,1975,,,,895
post-demographic dividend,1975,4252.616305,,,61092
french polynesia,1975,,,,37912
qatar,1975,12420.75219,,,144529
romania,1975,2432.730884,,,..
russian federation,1975,,,,756
rwanda,1975,,,,347
south asia,1975,263.1353138,,,774582
saudi arabia,1975,1181.875904,,,..
sudan,1975,461.120635,,,312400
senegal,1975,281.5497685,,,3147977
singapore,1975,1640.488376,,,13991349
solomon islands,1975,,,,131446
sierra leone,1975,,,,..
el salvador,1975,543.9878576,,,3569
san marino,1975,,,,731423
somalia,1975,,,,4661
serbia,1975,,,,40390
sub-saharan africa (excluding high income),1975,678.5564646,,,..
south sudan,1975,,,,219222
sub-saharan africa,1975,678.5564646,,,297072
small states,1975,,,,484678
sao tome and principe,1975,,,,5495961
suriname,1975,,,,183279
slovak republic,1975,3539.879365,,,2470240
slovenia,1975,,,,27585627
sweden,1975,4764.499013,,,9777213
eswatini,1975,,,,2894083
sint maarten (dutch part),1975,,,,2853395
seychelles,1975,,,,9537875
syrian arab republic,1975,405.1264419,,0,17408604
turks and caicos islands,1975,,,,461893
chad,1975,,,,2269872
east asia & pacific (ida & ibrd countries),1975,482.4348499,,,15872830
europe & central asia (ida & ibrd countries),1975,,,,6451874
togo,1975,322.5241304,,0,7540901
thailand,1975,409.6860601,,0,45637638
tajikistan,1975,,,,22888585
turkmenistan,1975,,,,38476218
latin america & the caribbean (ida & ibrd countries),1975,886.1281355,,,6288547
timor-leste,1975,,,,9299086
middle east & north africa (ida & ibrd countries),1975,445.9307927,,,15587633
tonga,1975,,,,8173521
south asia (ida & ibrd),1975,263.1353138,,,5757439
sub-saharan africa (ida & ibrd countries),1975,678.5564646,,,5090436
trinidad and tobago,1975,2296.255154,,,5339038
tunisia,1975,384.1801378,,,7074320
turkey,1975,681.2165197,,,37083344
tuvalu,1975,,,,5552254
tanzania,1975,482.9137811,,,21226213
uganda,1975,,,,6738474
ukraine,1975,,,,3124143
upper middle income,1975,682.9534334,,,2498190
uruguay,1975,863.9614639,,,31531090
united states,1975,7656.263579,,,17523529
uzbekistan,1975,,,,..
st. vincent and the grenadines,1975,,,,40404870
"venezuela, rb",1975,1746.65069,,,610742
british virgin islands,1975,,,,37989
virgin islands (u.s.),1975,,,,39181065
vietnam,1975,285.4639979,,,7578542
vanuatu,1975,,,,832010
world,1975,1365.602028,,,15613689
samoa,1975,,,,15613689
kosovo,1975,,,,9902034
"yemen, rep.",1975,101.8428979,,,9899100
south africa,1975,2142.134091,,,9902034
zambia,1975,810.3655,,,10304877
zimbabwe,1975,940.0715775,,,82720982
aruba,1976,,,,
afghanistan,1976,,,,
angola,1976,559.4544907,,,
albania,1976,890.9533599,,,
andorra,1976,,,,
arab world,1976,525.4178134,,,
united arab emirates,1976,3857.614254,,,
argentina,1976,1416.108614,,,
armenia,1976,,,,
american samoa,1976,,,,
antigua and barbuda,1976,,,,
australia,1976,4405.702986,,,
austria,1976,2866.97592,,,
azerbaijan,1976,,,,
burundi,1976,,,0,
belgium,1976,4622.233118,,,
benin,1976,360.2356377,,,
burkina faso,1976,,,,
bangladesh,1976,99.85994743,,,
bulgaria,1976,2780.331763,,,
bahrain,1976,9584.323635,,,
"bahamas, the",1976,,,,
bosnia and herzegovina,1976,,,,
belarus,1976,,,,
belize,1976,,,,
bermuda,1976,,,,
bolivia,1976,317.1747249,,,
brazil,1976,870.8644151,,,
barbados,1976,,,,
brunei darussalam,1976,5804.395265,,,
bhutan,1976,,,,
botswana,1976,,,0,
central african republic,1976,,,,
canada,1976,7293.698609,,,
central europe and the baltics,1976,3055.991198,,,
switzerland,1976,2821.012886,,,
channel islands,1976,,,,
chile,1976,751.3020971,,,
china,1976,537.1747315,,,
cote d'ivoire,1976,475.263593,,,
cameroon,1976,401.9327786,,,
"congo, dem. rep.",1976,322.0057975,,,
"congo, rep.",1976,382.8634228,,,
colombia,1976,652.2327413,,,
comoros,1976,,,,
cabo verde,1976,,,,
costa rica,1976,467.0585667,,,
caribbean small states,1976,,,,
cuba,1976,1288.925862,,,
curacao,1976,28353.1282,,,
cayman islands,1976,,,,
cyprus,1976,998.4548163,,,
czech republic,1976,4438.443585,,,
germany,1976,4314.581637,,,
djibouti,1976,,,,
dominica,1976,,,,
denmark,1976,3745.561839,,,
dominican republic,1976,603.4893485,,,
algeria,1976,368.762284,,,
east asia & pacific (excluding high income),1976,502.5793807,,,
early-demographic dividend,1976,448.0646155,,,
east asia & pacific,1976,746.8738192,,,
europe & central asia (excluding high income),1976,,,,
europe & central asia,1976,,,,
ecuador,1976,486.2222545,,,
"egypt, arab rep.",1976,289.316544,,,
euro area,1976,3141.293542,,,
eritrea,1976,,,,
spain,1976,1707.886189,,,
estonia,1976,,,,
ethiopia,1976,472.0947434,,,
european union,1976,3223.198689,,,
fragile and conflict affected situations,1976,442.1835702,,,
finland,1976,4459.859609,,,
fiji,1976,,,,
france,1976,3247.746875,,,
faroe islands,1976,,,,
"micronesia, fed. sts.",1976,,,,
gabon,1976,1883.273713,,,
united kingdom,1976,3616.975534,,,
georgia,1976,,,,
ghana,1976,359.1015539,,,
gibraltar,1976,904.1086812,,,
guinea,1976,,,,
"gambia, the",1976,,,,
guinea-bissau,1976,,,,
equatorial guinea,1976,,,,
greece,1976,1386.100466,,,
grenada,1976,,,0,
greenland,1976,,,,
guatemala,1976,540.040526,,,
guam,1976,,,,
guyana,1976,,,,
high income,1976,4315.340812,,,
"hong kong sar, china",1976,894.1460823,,,
honduras,1976,492.7310225,,,
heavily indebted poor countries (hipc),1976,,,,
croatia,1976,,,,
haiti,1976,350.0587099,,,
hungary,1976,2311.173366,,,
ibrd only,1976,579.2964425,,,
ida & ibrd total,1976,548.7980473,,,
ida total,1976,377.759662,,,
ida blend,1976,472.5417919,,,
indonesia,1976,320.9266531,,,
ida only,1976,320.6003187,,,
isle of man,1976,,,,
india,1976,280.447908,,,
not classified,1976,,,,
ireland,1976,2110.191937,,,
"iran, islamic rep.",1976,898.4364155,,,
iraq,1976,624.5130783,,,
iceland,1976,5085.581002,,,
israel,1976,1832.148033,,,
italy,1976,2264.057187,,,
jamaica,1976,1183.221958,,,
jordan,1976,456.07485,,,
japan,1976,2876.800853,,,
kazakhstan,1976,,,,
kenya,1976,449.7247959,,,
kyrgyz republic,1976,,,,
cambodia,1976,,,,
kiribati,1976,,,,
st. kitts and nevis,1976,,,,
"korea, rep.",1976,758.2438194,,,
kuwait,1976,6475.654803,,,
latin america & caribbean (excluding high income),1976,920.8613606,,,
lao pdr,1976,,,,
lebanon,1976,893.6013859,,,
liberia,1976,,,,
libya,1976,1206.797774,,,
st. lucia,1976,,,,
latin america & caribbean,1976,932.5753183,,,
least developed countries: un classification,1976,313.094013,,,
low income,1976,,,,
liechtenstein,1976,,,,
sri lanka,1976,295.1838874,,,
lower middle income,1976,314.0069688,,,
low & middle income,1976,522.9335112,,,
lesotho,1976,,,,
late-demographic dividend,1976,690.0687895,,,
lithuania,1976,,,,
luxembourg,1976,10668.56744,,,
latvia,1976,,,,
"macao sar, china",1976,,,,
st. martin (french part),1976,,,,
morocco,1976,235.1785091,,,
monaco,1976,,,,
moldova,1976,,,,
madagascar,1976,,,,
maldives,1976,,,0,
middle east & north africa,1976,637.278285,,,
mexico,1976,1033.437635,,,
marshall islands,1976,,,,
middle income,1976,522.7817992,,,
north macedonia,1976,,,,
mali,1976,,,,
malta,1976,778.1662273,,,
myanmar,1976,277.5673932,,,
middle east & north africa (excluding high income),1976,491.8801044,,,
montenegro,1976,,,,
mongolia,1976,,,,
northern mariana islands,1976,,,,
mozambique,1976,630.6545041,,,
mauritania,1976,,,,
mauritius,1976,460.0207169,,,
malawi,1976,,,,
malaysia,1976,628.5673658,,,
north america,1976,8022.210308,,,
namibia,1976,,,,
new caledonia,1976,,,,
niger,1976,,,,
nigeria,1976,622.3380469,,,
nicaragua,1976,546.0743662,,,
netherlands,1976,4742.981742,,,
norway,1976,3962.232921,,,
nepal,1976,298.7319992,,,
nauru,1976,,,,
new zealand,1976,2928.693136,,,
oecd members,1976,4071.149326,,,
oman,1976,407.2151609,,,
other small states,1976,,,,
pakistan,1976,299.1049117,,,
panama,1976,935.1170606,,,
peru,1976,663.9899102,,,
philippines,1976,450.8049904,,,
palau,1976,,,,
papua new guinea,1976,,,,
poland,1976,3157.946112,,,
pre-demographic dividend,1976,520.7766465,,,
puerto rico,1976,,,,
"korea, dem. people’s rep.",1976,1427.661651,,,
portugal,1976,872.3493743,,,
paraguay,1976,547.6421511,,,
west bank and gaza,1976,,,,
pacific island small states,1976,,,,
post-demographic dividend,1976,4495.876149,,,
french polynesia,1976,,,,
qatar,1976,8796.702759,,,
romania,1976,2594.392518,,,
russian federation,1976,,,,
rwanda,1976,,,,
south asia,1976,266.5520405,,,
saudi arabia,1976,1303.067337,,,
sudan,1976,446.8989319,,,
senegal,1976,280.4540218,,,
singapore,1976,1693.247286,,,
solomon islands,1976,,,,
sierra leone,1976,,,,
el salvador,1976,614.4500933,,,
san marino,1976,,,,
somalia,1976,,,,
serbia,1976,,,,
sub-saharan africa (excluding high income),1976,681.44288,,,
south sudan,1976,,,,
sub-saharan africa,1976,681.44288,,,
small states,1976,,,,
sao tome and principe,1976,,,,
suriname,1976,,,,
slovak republic,1976,3631.260796,,,
slovenia,1976,,,,
sweden,1976,5151.251367,,,
eswatini,1976,,,,
sint maarten (dutch part),1976,,,,
seychelles,1976,,,,
syrian arab republic,1976,443.5591947,,0,
turks and caicos islands,1976,,,,
chad,1976,,,,
east asia & pacific (ida & ibrd countries),1976,490.2691249,,,
europe & central asia (ida & ibrd countries),1976,,,,
togo,1976,315.8605483,,0,
thailand,1976,434.2134617,,0,
tajikistan,1976,,,,
turkmenistan,1976,,,,
latin america & the caribbean (ida & ibrd countries),1976,908.7284488,,,
timor-leste,1976,,,,
middle east & north africa (ida & ibrd countries),1976,491.8801044,,,
tonga,1976,,,,
south asia (ida & ibrd),1976,266.5520405,,,
sub-saharan africa (ida & ibrd countries),1976,681.44288,,,
trinidad and tobago,1976,2514.558968,,,
tunisia,1976,400.6539038,,,
turkey,1976,724.4860339,,,
tuvalu,1976,,,,
tanzania,1976,472.7395872,,,
uganda,1976,,,,
ukraine,1976,,,,
upper middle income,1976,702.6777322,,,
uruguay,1976,873.2517249,,,
united states,1976,8100.562222,,,
uzbekistan,1976,,,,
st. vincent and the grenadines,1976,,,,
"venezuela, rb",1976,1760.362794,,,
british virgin islands,1976,,,,
virgin islands (u.s.),1976,,,,
vietnam,1976,250.7370351,,,
vanuatu,1976,,,,
world,1976,1420.478573,,,
samoa,1976,,,,
kosovo,1976,,,,
"yemen, rep.",1976,120.6829966,,,
south africa,1976,2161.066031,,,
zambia,1976,870.6178563,,,
zimbabwe,1976,960.534521,,,
aruba,1977,,,,
afghanistan,1977,,,,
angola,1977,532.94946,,,
albania,1977,923.7288675,,,
andorra,1977,,,,
arab world,1977,562.1145042,,,
united arab emirates,1977,5585.63883,,,
argentina,1977,1432.138817,,,
armenia,1977,,,,
american samoa,1977,,,,
antigua and barbuda,1977,,,,
australia,1977,4671.195674,,,
austria,1977,2797.421922,,,
azerbaijan,1977,,,,
burundi,1977,,,0,
belgium,1977,4589.52441,,,
benin,1977,363.6214303,,,
burkina faso,1977,,,,
bangladesh,1977,99.70556296,,,
bulgaria,1977,2954.266739,,,
bahrain,1977,8188.762266,,,
"bahamas, the",1977,,,,
bosnia and herzegovina,1977,,,,
belarus,1977,,,,
belize,1977,,,,
bermuda,1977,,,,
bolivia,1977,331.7364963,,,
brazil,1977,878.9120077,,,
barbados,1977,,,,
brunei darussalam,1977,6040.626395,,,
bhutan,1977,,,,
botswana,1977,,,0,
central african republic,1977,,,,
canada,1977,7431.439886,,,
central europe and the baltics,1977,3195.305988,,,
switzerland,1977,2877.792909,,,
channel islands,1977,,,,
chile,1977,766.8010128,,,
china,1977,577.2110106,,,
cote d'ivoire,1977,463.0171283,,,
cameroon,1977,417.9525734,,,
"congo, dem. rep.",1977,322.6727309,,,
"congo, rep.",1977,353.7870218,,,
colombia,1977,656.8021794,,,
comoros,1977,,,,
cabo verde,1977,,,,
costa rica,1977,529.678117,,,
caribbean small states,1977,,,,
cuba,1977,1388.2207,,,
curacao,1977,28090.6737,,,
cayman islands,1977,,,,
cyprus,1977,1074.371361,,,
czech republic,1977,4716.462701,,,
germany,1977,4336.087404,,,
djibouti,1977,,,,
dominica,1977,,,,
denmark,1977,3830.10381,,,
dominican republic,1977,602.4379103,,,
algeria,1977,401.0884664,,,
east asia & pacific (excluding high income),1977,536.1916771,,,
early-demographic dividend,1977,460.9593528,,,
east asia & pacific,1977,783.3622914,,,
europe & central asia (excluding high income),1977,,,,
europe & central asia,1977,,,,
ecuador,1977,567.3436602,,,
"egypt, arab rep.",1977,308.7919145,,,
euro area,1977,3105.600543,,,
eritrea,1977,,,,
spain,1977,1661.179074,,,
estonia,1977,,,,
ethiopia,1977,472.051695,,,
european union,1977,3235.513815,,,
fragile and conflict affected situations,1977,442.0157618,,,
finland,1977,4516.248068,,,
fiji,1977,,,,
france,1977,3172.814451,,,
faroe islands,1977,,,,
"micronesia, fed. sts.",1977,,,,
gabon,1977,2008.388847,,,
united kingdom,1977,3695.383871,,,
georgia,1977,,,,
ghana,1977,373.9709442,,,
gibraltar,1977,870.8738506,,,
guinea,1977,,,,
"gambia, the",1977,,,,
guinea-bissau,1977,,,,
equatorial guinea,1977,,,,
greece,1977,1469.549429,,,
grenada,1977,,,0,
greenland,1977,,,,
guatemala,1977,558.5853319,,,
guam,1977,,,,
guyana,1977,,,,
high income,1977,4383.848717,,,
"hong kong sar, china",1977,997.7755961,,,
honduras,1977,505.5975185,,,
heavily indebted poor countries (hipc),1977,,,,
croatia,1977,,,,
haiti,1977,353.5313872,,,
hungary,1977,2428.82933,,,
ibrd only,1977,604.8199962,,,
ida & ibrd total,1977,570.6076759,,,
ida total,1977,380.2570456,,,
ida blend,1977,478.1744765,,,
indonesia,1977,347.9798643,,,
ida only,1977,320.8790044,,,
isle of man,1977,,,,
india,1977,281.9476665,,,
not classified,1977,,,,
ireland,1977,2203.821522,,,
"iran, islamic rep.",1977,974.9207289,,,
iraq,1977,625.4866166,,,
iceland,1977,5602.870166,,,
israel,1977,1786.487683,,,
italy,1977,2204.179807,,,
jamaica,1977,1141.605926,,,
jordan,1977,454.4993193,,,
japan,1977,2899.904218,,,
kazakhstan,1977,,,,
kenya,1977,454.5913659,,,
kyrgyz republic,1977,,,,
cambodia,1977,,,,
kiribati,1977,,,,
st. kitts and nevis,1977,,,,
"korea, rep.",1977,866.0208045,,,
kuwait,1977,6582.479111,,,
latin america & caribbean (excluding high income),1977,946.2201538,,,
lao pdr,1977,,,,
lebanon,1977,697.3963578,,,
liberia,1977,,,,
libya,1977,1442.258388,,,
st. lucia,1977,,,,
latin america & caribbean,1977,957.4558171,,,
least developed countries: un classification,1977,310.6179283,,,
low income,1977,,,,
liechtenstein,1977,,,,
sri lanka,1977,287.0097338,,,
lower middle income,1977,319.8816227,,,
low & middle income,1977,544.6225222,,,
lesotho,1977,,,,
late-demographic dividend,1977,727.6658542,,,
lithuania,1977,,,,
luxembourg,1977,10278.55755,,,
latvia,1977,,,,
"macao sar, china",1977,,,,
st. martin (french part),1977,,,,
morocco,1977,252.7305852,,,
monaco,1977,,,,
moldova,1977,,,,
madagascar,1977,,,,
maldives,1977,,,0,
middle east & north africa,1977,683.4251328,,,
mexico,1977,1088.615899,,,
marshall islands,1977,,,,
middle income,1977,545.2833562,,,
north macedonia,1977,,,,
mali,1977,,,,
